city,country,latitude,longitude,max_temp,humidity,windspeed,cloudiness
Morganton,US,35.75,-81.69,91.0,38,8.05,1
Fort Nelson,CA,58.81,-122.69,35.6,93,9.17,90
Tucuman,PE,-17.17,-70.89,68.4,26,9.17,0
Rumoi,JP,43.93,141.67,48.2,100,1.12,90
Mayor Pablo Lagerenza,PY,-19.93,-60.77,93.1,20,8.37,45
Meulaboh,ID,4.14,96.13,79.74,85,9.42,97
Berlevag,NO,70.86,29.09,44.6,100,9.17,75
Mecca,SA,21.43,39.83,82.23,47,4.74,89
Kursk,RU,51.74,36.18,45.0,89,6.33,100
Rapid Valley,US,44.06,-103.15,84.2,26,8.05,1
Pyaozerskiy,RU,65.83,31.17,44.88,90,6.24,100
Fukue,JP,35.03,136.69,75.2,69,5.82,75
Satuk,TR,41.23,32.38,62.79,84,5.75,33
Owando,CG,-0.49,15.91,72.45,94,1.59,25
Marsa Matruh,EG,31.35,27.25,75.2,78,4.7,20
Superior,US,47.19,-114.89,55.99,100,5.82,90
Istok,PL,52.66,23.48,48.99,82,4.25,35
Vostok,RU,46.45,135.83,41.8,73,4.03,0
Pital,CO,2.27,-75.81,70.76,59,4.52,40
Bara,NG,10.41,10.6,75.53,76,3.51,100
Karratha,AU,-20.74,116.85,61.18,43,7.43,0
Nsanje,MZ,-16.92,35.26,61.85,75,5.23,0
Najran,SA,17.54,44.22,80.6,34,6.93,0
Davila,PH,18.47,120.58,82.03,82,20.87,56
Kalemie,CD,-5.95,29.2,70.13,51,1.9,16
Xinzhou,CN,38.41,112.73,53.89,56,1.54,0
Touros,BR,-5.2,-35.46,77.0,73,9.17,20
Yerkoy,TR,39.64,34.47,59.28,55,2.89,0
